pH	lat	long	soil	texture	age	tempsum	NH4	NO3	s
3.64	60.36	13.38	3	5	155	0.38	164.92107349	269.89940528	142.5105255
3.81	60.32	14.11	3	4	75	0.38	164.92107349	269.89940528	142.5105255
3.51	60.8	13.35	3	5	75	0.23	129.38093912	210.81339645	113.81256822
4.04	60.84	12.61	3	3	18	0.25	154.85446251	235.98706333	131.24590675
3.34	61.36	13.68	3	4	105	0.22	103.97881014	168.47651481	93.566193669
3.68	61.42	14.8	3	5	95	0.22	103.1934717	176.81538121	97.084048027
3.72	61.86	14.78	3	4	105	0.27	90.556662169	153.54080547	81.546857945
3.54	61.86	14.78	2	5	135	0.27	90.556662169	153.54080547	81.546857945
3.62	61.95	14.69	3	4	125	0.3	90.071180221	150.88493364	76.631841572
4.12	62.39	14.43	3	5	125	0.23	71.537192915	121.81313229	59.878372057
4.26	63.3	14.39	3	4	125	0.21	81.446736205	106.4633354	51.482925308
3.46	60.19	14.29	3	5	75	0.28	207.44358057	315.03494756	160.31186652
3.85	60.65	12.63	3	6	40	0.38	152.19859067	237.67197127	120.69858101
3.77	60.76	12.98	3	3	20	0.21	152.19859067	237.67197127	120.69858101
3.77	60.75	12.98	3	5	25	0.23	152.19859067	237.67197127	120.69858101
3.74	60.63	13.36	3	3	22	0.28	152.19859067	237.67197127	120.69858101
3.81	60.63	13.36	3	5	14	0.28	152.19859067	237.67197127	120.69858101
3.57	60.73	13.72	3	5	125	0.35	132.56512955	208.70012208	107.39435522
3.54	61.15	12.76	3	5	125	0.21	129.09536151	200.40409233	105.90987058
3.49	61.48	13.1	3	5	145	0.25	129.09536151	200.40409233	105.90987058
3.76	62	14.49	3	4	135	0.23	89.585698273	148.22906181	71.716825199
3.48	61.99	14.49	3	3	8	0.26	89.585698273	148.22906181	71.716825199
5.51	62.53	14.72	3	5	75	0.23	69.966516024	119.48567471	55.543427413
3.99	63.33	14.19	3	7	155	0.26	81.70375606	106.42049876	48.507718696
3.71	60.8	12.79	3	6	95	0.25	156.88206358	236.10129438	113.88117886
4.14	60.79	12.8	3	4	75	0.35	156.88206358	236.10129438	113.88117886
3.49	60.77	13.53	3	4	20	0.38	135.74931997	206.58684772	100.97614221
3.5	60.76	13.53	3	5	125	0.39	135.74931997	206.58684772	100.97614221
3.41	61.22	13.5	3	4	105	0.28	129.19531367	197.97668259	97.084048027
3.56	61.19	14.25	3	4	105	0.35	122.65558626	189.23800752	94.439419928
3.37	61.28	14.61	3	4	135	0.28	122.65558626	189.23800752	94.439419928
3.75	61.32	13.87	3	4	65	0.23	122.65558626	189.23800752	94.439419928
3.81	61.31	13.87	3	5	30	0.27	122.65558626	189.23800752	94.439419928
3.67	61.77	14.79	3	1	85	0.25	110.07589225	174.64499133	88.85077187
3.19	62.41	14.86	3	1	135	0.32	82.674719955	136.22052304	64.182130048
6.38	63.3	14.83	3	6	40	0.21	81.960775914	106.37766212	45.532512085
3.73	60.16	14.48	3	5	85	0.31	220.60870869	306.63896564	141.77452051
4.11	60.62	12.81	3	5	145	0.33	161.56553649	234.53061749	107.0637767
4	60.61	12.81	3	5	6	0.3	161.56553649	234.53061749	107.0637767
3.63	60.54	13.37	3	4	115	0.33	161.56553649	234.53061749	107.0637767
3.41	60.7	14.82	2	6	95	0.35	155.49701214	227.7481491	106.2841104
3.7	60.69	14.82	1	6	16	0.38	155.49701214	227.7481491	106.2841104
4.04	60.97	12.41	3	3	75	0.27	160.20904282	231.31786931	101.88679245
3.44	61.07	12.77	3	3	105	0.22	160.20904282	231.31786931	101.88679245
3.84	61.04	13.51	2	5	10	0.23	138.93351039	204.47357336	94.557929206
3.7	61.13	13.88	3	5	135	0.31	138.93351039	204.47357336	94.557929206
4.59	61.01	14.26	2	6	95	0.32	124.36905195	186.12521151	88.289412132
3.38	61.43	13.3	2	5	3	0.23	129.29526584	195.54927285	88.258225479
3.54	61.59	14.79	3	4	65	0.27	113.51710253	173.55979638	84.734133791
3.71	61.62	13.28	3	4	125	0.21	95.44003941	155.41133886	63.545922345
3.21	62	14.93	2	6	105	0.25	74.164506986	131.05156818	54.302198659
3.29	61.99	14.93	3	5	125	0.22	74.164506986	131.05156818	54.302198659
3.55	62.48	14.91	3	5	125	0.33	63.483904132	113.58849693	44.659285826
4.34	62.79	14.41	1	8	4	0.23	63.483904132	113.58849693	44.659285826
3.62	62.9	14.9	3	6	95	0.27	61.142167677	104.52140761	41.958521753
4.79	63.38	14.89	2	7	25	0.27	58.94322003	94.540469918	39.326368314
3.64	60.28	13.75	3	5	105	0.39	159.98058072	245.75381782	102.11757368
3.36	60.59	13.18	1	5	125	0.38	144.57366832	220.93712295	90.522376423
3.83	60.67	13.54	3	5	10	0.35	144.57366832	220.93712295	90.522376423
3.32	60.65	14.27	3	4	145	0.38	140.0472631	216.18225563	90.91532824
3.76	61.18	13.69	1	6	125	0.27	126.02540213	194.07854812	80.349290504
3.16	61.17	13.69	2	6	125	0.27	126.02540213	194.07854812	80.349290504
3.77	61.05	14.07	3	5	18	0.26	126.02540213	194.07854812	80.349290504
4.28	61.04	14.07	3	5	7	0.25	126.02540213	194.07854812	80.349290504
